latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,exact_time,day_of_week,time_seconds,distance,predicted_time
44.399626,-72.998988,97.8,2023-04-28 17:10:01+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:01,4,102.0,3.5899543900674202,0.004517163
44.399608,-72.999014,98.0,2023-04-28 17:10:02+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:02,4,103.0,2.8794065829705677,0.004517163
44.399589,-72.999042,98.2,2023-04-28 17:10:03+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:03,4,104.0,3.0713657735129503,0.004517163
44.399573,-72.999068,98.4,2023-04-28 17:10:04+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:04,4,105.0,2.7297154211703383,0.004517163
44.399552,-72.999093,98.4,2023-04-28 17:10:05+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:05,4,106.0,3.067896165778405,0.004517163
44.399532,-72.999119,98.6,2023-04-28 17:10:06+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:06,4,107.0,3.03799532746545,0.004517163
44.399511,-72.999141,98.6,2023-04-28 17:10:07+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:07,4,108.0,2.9184089938316804,0.004517163
44.399491,-72.999167,98.8,2023-04-28 17:10:08+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:08,4,109.0,3.0379963027588546,0.004517163
44.399468,-72.99919,99.0,2023-04-28 17:10:09+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:09,4,110.0,3.144727433506425,0.004517163
44.399446,-72.999218,99.2,2023-04-28 17:10:10+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:10,4,111.0,3.309391812388901,0.004517163
44.399426,-72.999244,99.2,2023-04-28 17:10:11+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:11,4,112.0,3.037997847075199,0.004517163
44.399403,-72.999271,99.4,2023-04-28 17:10:12+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:12,4,113.0,3.340457707760954,0.004517163
44.399382,-72.999295,99.8,2023-04-28 17:10:13+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:13,4,114.0,3.0167898575207355,0.004517163
44.399365,-72.999317,99.8,2023-04-28 17:10:14+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:14,4,115.0,2.5768743434466423,0.004517163
44.399347,-72.999344,100.0,2023-04-28 17:10:15+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:15,4,116.0,2.9372428813753793,0.004517163
44.399327,-72.999371,100.0,2023-04-28 17:10:16+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:16,4,117.0,3.0928661709503316,0.004517163
44.399307,-72.999403,100.2,2023-04-28 17:10:17+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:17,4,118.0,3.3820270076452674,0.004517163
44.399285,-72.999432,100.2,2023-04-28 17:10:18+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:18,4,119.0,3.3636088363795054,0.004517163
44.399265,-72.999458,100.2,2023-04-28 17:10:19+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:19,4,120.0,3.038001674555857,0.004517163
